FALSE,ID,Conf,arxiv,similarity,conf_idx
TRUE,400,Open-vocabulary Panoptic Segmentation with Embedding Modulation,Panoptic Segmentation,90,4072
FALSE,401,OPERA: Omni-Supervised Representation Learning with Hierarchical Supervisions,OPERA: Omni-Supervised Representation Learning with Hierarchical  Supervisions,99,4076
FALSE,402,ORC: Network Group-based Knowledge Distillation using Online Role Change,ORC: Network Group-based Knowledge Distillation using Online Role Change,100,4078
TRUE,403,Ordinal Label Distribution Learning,Label Distribution Learning,95,4083
FALSE,404,Out-of-domain GAN inversion via Invertibility Decomposition for Photo-Realistic Human Face Manipulation,Photo-Realistic Out-of-domain GAN inversion via Invertibility  Decomposition,95,4086
FALSE,405,P1AC: Revisiting Absolute Pose From a Single Affine Correspondence,P1AC: Revisiting Absolute Pose From a Single Affine Correspondence,100,4089
TRUE,406,Parametric Classification for Generalized Category Discovery: A Baseline Study,A Simple Parametric Classification Baseline for Generalized Category  Discovery,91,4099
TRUE,407,Parametric Information Maximization for Generalized Category Discovery,Generalized Category Discovery,90,4101
FALSE,408,ParCNetV2: Oversized Kernel with Enhanced Attention+,ParCNetV2: Oversized Kernel with Enhanced Attention,100,4102
FALSE,409,Part-Aware Transformer for Generalizable Person Re-identification,Person Re-Identification,90,4105
FALSE,410,Pasta: Proportional Amplitude Spectrum Training Augmentation for Syn-to-Real Domain Generalization,PASTA: Proportional Amplitude Spectrum Training Augmentation for  Syn-to-Real Domain Generalization,99,4109
TRUE,411,Person Re-Identification without Identification via Event Anonymization,Person Re-Identification,90,4120
FALSE,412,PhysDiff: Physics-Guided Human Motion Diffusion Model,PhysDiff: Physics-Guided Human Motion Diffusion Model,100,4128
FALSE,413,Pixel-Wise Contrastive Distillation,Pixel-Wise Contrastive Distillation,100,4137
TRUE,414,Point2Mask: Point-supervised Panoptic Segmentation via Optimal Transport,Panoptic Segmentation,90,4150
FALSE,415,Prompt-aligned Gradient for Prompt Tuning,Prompt-aligned Gradient for Prompt Tuning,100,4184
TRUE,416,Proxy Anchor-based Unsupervised Learning for Continuous Generalized Category Discovery,Generalized Category Discovery,90,4195
FALSE,417,RANA: Relightable Articulated Neural Avatars,RANA: Relightable Articulated Neural Avatars,100,4208
FALSE,418,RbA: Segmenting Unknown Regions Rejected by All,Pixels Together Strong: Segmenting Unknown Regions Rejected by All,91,4217
FALSE,419,Rethinking Vision Transformers for MobileNet Size and Speed,Rethinking Vision Transformers for MobileNet Size and Speed,100,4270
FALSE,420,SAFE: Sensitivity-Aware Features for Out-of-Distribution Object Detection,SAFE: Sensitivity-Aware Features for Out-of-Distribution Object  Detection,99,4311
FALSE,421,SAGA: Spectral Adversarial Geometric Attack on 3D Meshes,SAGA: Spectral Adversarial Geometric Attack on 3D Meshes,100,4313
TRUE,422,Scenimefy: Learning to Craft Anime Scene via Semi-Supervised Image-to-Image Translation,Semi-Supervised Image-to-Image Translation,90,4340
TRUE,423,SCOB: Universal Text Understanding via Character-wise Supervised Contrastive Learning with Online Text Rendering for Bridging Domain Gap,Supervised Contrastive Learning,90,4341
FALSE,424,Scratching Visual Transformer's Back with Uniform Attention,Scratching Visual Transformer's Back with Uniform Attention,100,4344
FALSE,425,Semantics-Consistent Feature Search for Self-Supervised Visual Representation Learning,Semantics-Consistent Feature Search for Self-Supervised Visual  Representation Learning,99,4380
FALSE,426,SimpleClick: Interactive Image Segmentation with Simple Vision Transformers,SimpleClick: Interactive Image Segmentation with Simple Vision  Transformers,99,4415
FALSE,427,SMAUG: Sparse Masked Autoencoder for Efficient Video-Language Pre-training,SMAUG: Sparse Masked Autoencoder for Efficient Video-Language  Pre-training,99,4437
FALSE,428,Source-free Depth for Object Pop-out,Source-free Depth for Object Pop-out,100,4447
FALSE,429,Space : Speech-driven Portrait Animation with Controllable Expression,SPACE: Speech-driven Portrait Animation with Controllable Expression,99,4450
FALSE,430,Spatio-Temporal Crop Aggregation for Video Representation Learning,Spatio-Temporal Crop Aggregation for Video Representation Learning,100,4467
FALSE,431,Spurious Features Everywhere - Large-Scale Detection of Harmful Spurious Features in ImageNet,Spurious Features Everywhere -- Large-Scale Detection of Harmful  Spurious Features in ImageNet,99,4476
TRUE,432,TCOVIS: Temporally Consistent Online Video Instance Segmentation,Video Instance Segmentation,90,4533
TRUE,433,TextPSG: Panoptic Scene Graph Generation from Textual Descriptions,Panoptic Scene Graph Generation,90,4552
TRUE,434,The Devil is in the Upsampling: Architectural Decisions Made Simpler for Denoising with Deep Image Prior,Deep Image Prior,90,4557
FALSE,435,The Euclidean Space is Evil: Hyperbolic Attribute Editing for Few-shot Image Generation,The Euclidean Space is Evil: Hyperbolic Attribute Editing for Few-shot  Image Generation,99,4559
FALSE,436,Token-Label Alignment for Vision Transformers,Token-Label Alignment for Vision Transformers,100,4578
FALSE,437,TORE: Token Reduction for Efficient Human Mesh Recovery with Transformer,TORE: Token Reduction for Efficient Human Mesh Recovery with Transformer,100,4582
TRUE,438,Towards Deeply Unified Depth-aware Panoptic Segmentation with Bi-directional Guidance Learning,Panoptic Segmentation,90,4590
TRUE,439,Towards Grand Unified Representation Learning for Unsupervised Visible-Infrared Person Re-Identification,Person Re-Identification,90,4597
TRUE,440,Towards Unsupervised Domain Generalization for Face Anti-Spoofing,Towards Unsupervised Domain Generalization,90,4614
TRUE,441,TransTIC: Transferring Transformer-based Image Compression from Human Perception to Machine Perception,Transformer-based Image Compression,90,4637
TRUE,442,Unified Pre-training with Pseudo Texts for Text-To-Image and Person Re-identification,Person Re-Identification,90,4671
FALSE,443,UniT3D: A Unified Transformer for 3D Dense Captioning and Visual Grounding,UniT3D: A Unified Transformer for 3D Dense Captioning and Visual  Grounding,99,4679
FALSE,444,Unleashing Vanilla Vision Transformer with Masked Image Modeling for Object Detection,Unleashing Vanilla Vision Transformer with Masked Image Modeling for  Object Detection,99,4688
FALSE,445,UpCycling: Semi-supervised 3D Object Detection without Sharing Raw-level Unlabeled Scenes,UpCycling: Semi-supervised 3D Object Detection without Sharing Raw-level  Unlabeled Scenes,99,4705
TRUE,446,UrbanGIRAFFE: Representing Urban Scenes as Compositional Generative Neural Feature Fields,GIRAFFE: Representing Scenes as Compositional Generative Neural Feature  Fields,93,4707
FALSE,447,"Versatile Diffusion: Text, Images and Variations All in One Diffusion Model"," Versatile Diffusion: Text, Images and Variations All in One Diffusion  Model",99,4718
FALSE,448,"Video Background Music Generation: Dataset, Method and Evaluation"," Video Background Music Generation: Dataset, Method and Evaluation",100,4724
TRUE,449,Visible-Infrared Person Re-Identification via Semantic Alignment and Affinity Inference,Person Re-Identification,90,4740
FALSE,450,WALDO: Future Video Synthesis using Object Layer Decomposition and Parametric Flow Prediction,WALDO: Future Video Synthesis using Object Layer Decomposition and  Parametric Flow Prediction,99,4758
TRUE,451,What can Discriminator do? Towards Box-free Ownership Verification of Generative Adversarial Networks,Generative Adversarial Networks,90,4772
TRUE,452,With a Little Help from your own Past: Prototypical Memory Networks for Image Captioning,Memory Networks,90,4784
FALSE,453,zPROBE: Zero Peek Robustness Checks for Federated Learning,zPROBE: Zero Peek Robustness Checks for Federated Learning,100,4799
FALSE,454,A Deep Conjugate Direction Method for Iteratively Solving Linear Systems,A Deep Conjugate Direction Method for Iteratively Solving Linear Systems,100,4805
FALSE,455,A theory of representation learning,A theory of representation learning in deep neural networks gives a deep  generalisation of kernel methods,90,4816
FALSE,456,Abstract,Logical Characterizations of Heap Abstractions,90,4821
FALSE,457,Adversarial Parameter Attack on Deep Neural Networks,Adversarial Parameter Attack on Deep Neural Networks,100,4836
FALSE,458,Answering Complex Logical Queries on Knowledge Graphs via Query Computation Tree Optimization,Answering Complex Logical Queries on Knowledge Graphs via Query  Computation Tree Optimization,99,4843
FALSE,459,Arithmetic Sampling: Parallel Diverse Decoding for Large Language Models,Arithmetic Sampling: Parallel Diverse Decoding for Large Language Models,100,4848
FALSE,460,Bayesian Estimation of Differential Privacy,Bayesian Estimation of Differential Privacy,100,4858
TRUE,461,Benign Overfitting in Two-layer ReLU Convolutional Neural Networks,Benign Overfitting in Two-layer Convolutional Neural Networks,96,4860
FALSE,462,Beyond Uniform Lipschitz Condition in Differentially Private Optimization,Beyond Uniform Lipschitz Condition in Differentially Private  Optimization,99,4868
FALSE,463,Brauer's Group Equivariant Neural Networks,Brauer's Group Equivariant Neural Networks,100,4877
FALSE,464,Causal Proxy Models for Concept-based Model Explanations,Causal Proxy Models for Concept-Based Model Explanations,100,4883
FALSE,465,Coder Reviewer Reranking for Code Generation,Coder Reviewer Reranking for Code Generation,100,4895
TRUE,466,Conditional Graph Information Bottleneck for Molecular Relational Learning,Graph Information Bottleneck,90,4907
FALSE,467,CRISP: Curriculum based Sequential neural decoders for Polar code family,CRISP: Curriculum based Sequential Neural Decoders for Polar Code Family,100,4928
FALSE,468,Deep Regression Unlearning,Deep Regression Unlearning,100,4944
FALSE,469,Defects of Convolutional Decoder Networks in Frequency Representation,Defects of Convolutional Decoder Networks in Frequency Representation,100,4946
FALSE,470,Disentangled Generative Models for Robust Prediction of System Dynamics,Disentangled generative models for robust dynamical system prediction,91,4960
FALSE,471,Distributed Contextual Linear Bandits with Minimax Optimal Communication Cost,Distributed Contextual Linear Bandits with Minimax Optimal Communication  Cost,99,4965
FALSE,472,DS-1000: A Natural and Reliable Benchmark for Data Science Code Generation,DS-1000: A Natural and Reliable Benchmark for Data Science Code  Generation,99,4980
FALSE,473,Efficient Transformed Gaussian Processes for Non-Stationary Dependent Multi-class Classification,Efficient Transformed Gaussian Processes for Non-Stationary Dependent  Multi-class Classification,99,4997
TRUE,474,Equivariant Polynomials for Graph Neural Networks,E(n) Equivariant Graph Neural Networks,90,5008
FALSE,475,FeDXL: Provable Federated Learning for Deep X-Risk Optimization,FeDXL: Provable Federated Learning for Deep X-Risk Optimization,100,5035
FALSE,476,Fighting Fire with Fire: Contrastive Debiasing without Bias-free Data via Generative Bias-transformation,Fighting Fire with Fire: Contrastive Debiasing without Bias-free Data  via Generative Bias-transformation,100,5038
FALSE,477,Global Optimization with Parametric Function Approximation,Global Optimization with Parametric Function Approximation,100,5079
FALSE,478,Graphically Structured Diffusion Models,Graphically Structured Diffusion Models,100,5093
FALSE,479,Hierarchies of Reward Machines,Hierarchies of Reward Machines,100,5104
FALSE,480,Hindsight Learning for MDPs with Exogenous Inputs,Hindsight Learning for MDPs with Exogenous Inputs,100,5107
FALSE,481,Implicit Neural Spatial Representations for Time-dependent PDEs,Implicit Neural Spatial Representations for Time-dependent PDEs,100,5121
FALSE,482,Improving Medical Predictions by Irregular Multimodal Electronic Health Records Modeling,Improving Medical Predictions by Irregular Multimodal Electronic Health  Records Modeling,99,5130
FALSE,483,Improving Visual Prompt Tuning for Self-supervised Vision Transformers,Visual Prompt Tuning,90,5132
TRUE,484,Information-Theoretic State Space Model for Multi-View Reinforcement Learning,Multi-View Reinforcement Learning,90,5137
FALSE,485,Learning Control by Iterative Inversion,Learning Control by Iterative Inversion,100,5166
TRUE,486,Learning Instance-Specific Augmentations by Capturing Local Invariances,Instance-Specific Augmentation: Capturing Local Invariances,91,5175
TRUE,487,Learning to Optimize Differentiable Games,Learning to Optimize,90,5191
FALSE,488,Live in the Moment: Learning Dynamics Model Adapted to Evolving Policy,Live in the Moment: Learning Dynamics Model Adapted to Evolving Policy,100,5198
FALSE,489,Maximal Initial Learning Rates in Deep ReLU Networks,Maximal Initial Learning Rates in Deep ReLU Networks,100,5214
FALSE,490,Mechanistic Mode Connectivity,Mechanistic Mode Connectivity,100,5216
FALSE,491,Meta Learning of Interface Conditions for Multi-Domain Physics-Informed Neural Networks,Meta Learning of Interface Conditions for Multi-Domain Physics-Informed  Neural Networks,99,5219
FALSE,492,Meta-Learning Parameterized Skills,Meta-Learning Transferable Parameterized Skills,95,5220
FALSE,493,"Mu^2SLAM: Multitask, Multilingual Speech and Language Models"," Mu$^{2}$SLAM: Multitask, Multilingual Speech and Language Models",97,5241
FALSE,494,Multi-task Hierarchical Adversarial Inverse Reinforcement Learning,Hierarchical Adversarial Inverse Reinforcement Learning,95,5247
TRUE,495,Nearly-tight Bounds for Deep Kernel Learning,Deep Kernel Learning,90,5261
FALSE,496,Neural Network Approximations of PDEs Beyond Linearity: A Representational Perspective,Neural Network Approximations of PDEs Beyond Linearity: Representational  Perspective,98,5267
TRUE,497,Nonparametric Iterative Machine Teaching,Iterative Machine Teaching,90,5277
FALSE,498,Normalizing Flows for Interventional Density Estimation,Normalizing Flows for Interventional Density Estimation,100,5278
FALSE,499,On Pre-Training for Visuo-Motor Control: Revisiting a Learning-from-Scratch Baseline,On Pre-Training for Visuo-Motor Control: Revisiting a  Learning-from-Scratch Baseline,99,5288
FALSE,500,On the Identifiability and Estimation of Causal Location-Scale Noise Models,On the Identifiability and Estimation of Causal Location-Scale Noise  Models,99,5300
FALSE,501,On the Power of Pre-training for Generalization in RL: Provable Benefits and Hardness,On the Power of Pre-training for Generalization in RL: Provable Benefits  and Hardness,99,5305
FALSE,502,Pareto Manifold Learning: Tackling multiple tasks via ensembles of single-task models,Pareto Manifold Learning: Tackling multiple tasks via ensembles of  single-task models,99,5333
FALSE,503,(########## Abstract),Logical Characterizations of Heap Abstractions,90,5345
TRUE,504,PPG Reloaded: An Empirical Study on What Matters in Phasic Policy Gradient,Phasic Policy Gradient,90,5348
FALSE,505,Probabilistic Concept Bottleneck Models,Concept Bottleneck Models,90,5357
FALSE,506,Q-learning Decision Transformer: Leveraging Dynamic Programming for Conditional Sequence Modelling in Offline RL,Q-learning Decision Transformer: Leveraging Dynamic Programming for  Conditional Sequence Modelling in Offline RL,100,5375
FALSE,507,Quantum Policy Gradient Algorithm with Optimized Action Decoding,Quantum Policy Gradient Algorithm with Optimized Action Decoding,100,5381
FALSE,508,Reliable Measures of Spread in High Dimensional Latent Spaces,Reliable Measures of Spread in High Dimensional Latent Spaces,100,5397
FALSE,509,Repository-Level Prompt Generation for Large Language Models of Code,Repository-Level Prompt Generation for Large Language Models of Code,100,5398
FALSE,510,Revisiting Over-smoothing and Over-squashing Using Ollivier-Ricci Curvature,Revisiting Over-smoothing and Over-squashing using Ollivier's Ricci  Curvature,98,5408
FALSE,511,Robust Perception through Equivariance,Robust Perception through Equivariance,100,5416
FALSE,512,Scaling Laws for Reward Model Overoptimization,Scaling Laws for Reward Model Overoptimization,100,5428
FALSE,513,Shortest Edit Path Crossover: A Theory-driven Solution to the Permutation Problem in Evolutionary Neural Architecture Search,Shortest Edit Path Crossover: A Theory-driven Solution to the  Permutation Problem in Evolutionary Neural Architecture Search,100,5447
FALSE,514,TabDDPM: Modelling Tabular Data with Diffusion Models,TabDDPM: Modelling Tabular Data with Diffusion Models,100,5484
FALSE,515,Abstract,Logical Characterizations of Heap Abstractions,90,5498
FALSE,516,The Value of Out-of-Distribution Data,The Value of Out-of-Distribution Data,100,5502
TRUE,517,Towards Coherent Image Inpainting Using Denoising Diffusion Implicit Models,Denoising Diffusion Implicit Models,90,5514
FALSE,518,Towards Explaining Distribution Shifts,Towards Explaining Distribution Shifts,100,5516
TRUE,519,Towards Unbiased Training in Federated Open-world Semi-supervised Learning,Open-World Semi-Supervised Learning,90,5523
FALSE,520,Understanding the Complexity Gains of Single-Task RL with a Curriculum,Understanding the Complexity Gains of Single-Task RL with a Curriculum,100,5541
FALSE,521,VectorMapNet: End-to-end Vectorized HD Map Learning (Abstract: Auto),VectorMapNet: End-to-end Vectorized HD Map Learning,95,5559
TRUE,522,Weighted Sampling without Replacement for Deep Top-\(k\) Classification,Weighted sampling without replacement,90,5563
FALSE,523,(abstract),Logical Characterizations of Heap Abstractions,90,5565
FALSE,524,"""Why did the Model Fail?"": Attributing Model Performance Changes to Distribution Shifts"," ""Why did the Model Fail?"": Attributing Model Performance Changes to  Distribution Shifts",99,5573
FALSE,525,CLIP-Sculptor: Zero-Shot Generation of High-Fidelity and Diverse Shapes from Natural Language,TextCraft: Zero-Shot Generation of High-Fidelity and Diverse Shapes from,89,975																					
FALSE,526,Detecting Objects with Context-Likelihood Graphs and Graph Refinement, Detecting Objects with Graph Priors and Graph Refinement,89,3225													
